datetime,BTC-USD,cash,commission,total,returns,equity_curve,drawdown
2019-01-01,0.0,100000.0,0.0,100000.0,,,
2019-02-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-02-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-03-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-03-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-03-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-03-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-03-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2019-03-09,3963.313721,96097.568408,1.3,100060.882129,0.0006088212899999501,1.00060882129,0.0
2019-03-10,3951.599854,96097.568408,1.3,100049.168262,-0.00011706739687644685,1.0004916826199999,0.00011713867000007205
2019-03-11,3905.227295,96097.568408,1.3,100002.79570300001,-0.00046349769623832415,1.00002795703,0.0005808642600000358
2019-03-12,3909.15625,96097.568408,1.3,100006.724658,3.9288451611607655e-05,1.00006724658,0.0005415747099999368
2019-03-13,3906.717285,96097.568408,1.3,100004.28569300001,-2.4388009989717574e-05,1.00004285693,0.0005659643600000042
